Name,Goals,Assists,G+A
Shane Livingstone,14,5,19
Lukman Ipese,6,5,11
Robert Reynolds,5,6,11
Amir Bourhfir,4,5,9
Mason Ferris,5,4,9
Ryan Braby,2,5,7
Alfie Shorland,2,3,5
Tom Heaton,4,1,5
Bailey Grant,3,0,3
Seb Gonzalez,1,2,3
Jonas Skattum,2,0,2
Matt Garner,0,1,1
Will Goodwin,0,1,1
Shim Ratynski,1,0,1
Fraser Colling,1,0,1
Tom FB,0,1,1
Tom King,0,1,1
Seamus Stokoe,0,0,0
Ollie Wyatt,0,0,0
Tolu Ademokoya,0,0,0
Vlad Tymoshenko,0,0,0
Nii Bannerman,0,0,0
Sam Sweeney,0,0,0
Adeshola Taiwo,0,0,0
Adam Cowland,0,0,0
Ross Kelmon,0,0,0
Harry Glassey,0,0,0
Luke Hynes,0,0,0
Mike Dowrick,0,0,0
