Name,Goals,Assists,G+A
Shane Livingstone,28,4,32
Seamus Stokoe,9,8,17
Amir Bourhfir,5,9,14
Seb Gonzalez,8,5,13
Robert Reynolds,7,4,11
Matt Garner,2,7,9
Damaine Robinson,4,3,7
Ollie Wyatt,4,2,6
Jonas Skattum,5,1,6
Tom Heaton,1,5,6
Sam Sweeney,0,5,5
Tolu Ademokoya,0,6,6
Morgan Powell,0,2,2
Noah Okocha,0,2,2
Nii Bannerman,1,1,2
Vlad Tymoshenko,1,1,2
Mason Ferris,1,0,1
Billy Amps,1,0,1
Fraser Colling,4,1,5
Lewis Spiers,0,1,1
Alex Hemmingway,1,0,1
Lukman Ipese,3,3,6
Laurie,1,,1
Emil,1,,
